id,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Months per Donation,Made Donation in March 2007
619,2,50,12500,98,1.92,1
664,0,13,3250,28,2.153846154,1
441,1,16,4000,35,2.125,1
160,2,20,5000,45,2.15,1
358,1,24,6000,77,3.166666667,0
335,4,4,1000,4,0,0
47,2,7,1750,14,1.714285714,1
164,1,12,3000,35,2.833333333,0
736,5,46,11500,98,2.02173913,1
436,0,3,750,4,1.333333333,0
460,2,10,2500,28,2.6,1
285,1,13,3250,47,3.538461538,0
499,2,6,1500,15,2.166666667,1
356,2,5,1250,11,1.8,1
40,2,14,3500,48,3.285714286,1
191,2,15,3750,49,3.133333333,1
638,2,6,1500,15,2.166666667,1
345,2,3,750,4,0.666666667,1
463,2,3,750,4,0.666666667,1
372,4,11,2750,28,2.181818182,0
8,2,6,1500,16,2.333333333,1
539,2,6,1500,16,2.333333333,1
734,4,14,3500,40,2.571428571,0
573,4,6,1500,14,1.666666667,0
482,4,8,2000,21,2.125,0
330,1,14,3500,58,4.071428571,0
222,4,10,2500,28,2.4,1
175,4,10,2500,28,2.4,1
606,2,16,4000,64,3.875,0
340,2,8,2000,28,3.25,1
298,2,12,3000,47,3.75,1
459,4,6,1500,16,2,1
92,4,7,1750,22,2.571428571,1
446,2,13,3250,53,3.923076923,1
336,2,5,1250,16,2.8,0
403,2,5,1250,16,2.8,1
286,2,5,1250,16,2.8,0
665,4,20,5000,69,3.25,1
134,4,9,2250,28,2.666666667,1
646,2,9,2250,36,3.777777778,0
391,2,2,500,2,0,0
471,2,2,500,2,0,0
377,2,2,500,2,0,0
712,2,11,2750,46,4,0
721,2,11,2750,46,4,1
654,2,6,1500,22,3.333333333,0
332,4,5,1250,14,2,1
740,4,19,4750,69,3.421052632,1
612,4,8,2000,26,2.75,1
502,2,7,1750,28,3.714285714,1
479,3,6,1500,21,3,0
444,2,8,2000,35,4.125,1
132,4,5,1250,16,2.4,1
507,3,16,4000,74,4.4375,0
718,2,4,1000,14,3,1
214,0,2,500,4,2,0
146,4,7,1750,25,3,0
607,1,9,2250,51,5.555555556,0
591,2,4,1000,16,3.5,0
144,2,4,1000,16,3.5,0
652,4,17,4250,71,3.941176471,1
45,2,2,500,4,1,0
395,2,2,500,4,1,1
369,2,2,500,4,1,1
490,2,4,1000,16,3.5,1
66,2,2,500,4,1,0
448,2,2,500,4,1,0
380,2,4,1000,16,3.5,0
328,2,4,1000,16,3.5,0
485,2,4,1000,16,3.5,0
630,2,6,1500,28,4.333333333,1
5,2,6,1500,28,4.333333333,0
546,4,2,500,4,0,0
54,4,2,500,4,0,0
445,2,7,1750,35,4.714285714,1
510,4,2,500,4,0,1
311,4,2,500,4,0,0
476,4,2,500,4,0,0
474,12,11,2750,23,1,0
527,3,17,4250,86,4.882352941,0
506,4,9,2250,38,3.777777778,1
424,4,8,2000,34,3.75,1
155,4,9,2250,40,4,0
94,2,5,1250,26,4.8,0
719,6,17,4250,70,3.764705882,0
676,0,8,2000,59,7.375,0
271,2,3,750,14,4,0
274,2,10,2500,64,6.2,0
535,4,9,2250,46,4.666666667,0
653,4,5,1250,23,3.8,0
493,4,8,2000,40,4.5,1
279,2,12,3000,82,6.666666667,0
564,11,24,6000,64,2.208333333,0
656,2,7,1750,46,6.285714286,1
386,4,11,2750,61,5.181818182,0
182,1,7,1750,57,8,0
212,2,11,2750,79,7,1
667,2,3,750,16,4.666666667,1
308,4,5,1250,26,4.4,1
421,2,6,1500,41,6.5,1
172,2,5,1250,33,6.2,1
662,2,4,1000,26,6,0
284,2,5,1250,34,6.4,0
731,4,8,2000,46,5.25,1
544,4,8,2000,48,5.5,1
145,2,2,500,10,4,1
747,4,5,1250,28,4.8,0
168,2,2,500,10,4,0
35,2,11,2750,88,7.818181818,0
81,2,3,750,19,5.666666667,0
594,2,5,1250,37,7,0
3,9,5,1250,19,2,0
687,2,2,500,11,4.5,0
29,2,9,2250,74,8,0
151,4,3,750,16,4,0
